dataset_id,source_type,candidate_role,organism_required,tissue_role,independence_unit,status,source_location,notes
GSE80178,GEO,PRIMARY_DFU_VERSUS_FOOT_SKIN_CONTRAST_CONTAINER,Homo sapiens,6 DFU ulcer plus 3 DFS and 3 NFS reused controls,conservative analytic sample unit; public participant ID unavailable,RELATIONSHIP_AND_GROUPS_LOCKED,03_data/raw_external_READ_ONLY/GSE80178,Contains 6 new DFU CEL objects and the 6 exact GSE68183/GSE68186 foot-skin control objects; retain DFS and NFS strata
GSE68183,GEO,COMPARATOR_CONTEXT_AND_CONTROL_SOURCE,Homo sapiens,3 non-ulcerated diabetic foot skin plus 3 healthy non-diabetic foot skin,conservative analytic sample unit shared with GSE80178 aliases,RELATIONSHIP_AND_GROUPS_LOCKED,03_data/raw_external_READ_ONLY/GSE68183,All 6 CEL objects are exact aliases of GSE80178 controls; not an independent DFU validation cohort
GSE134431,GEO,PRIMARY_HEALING_OUTCOME_BULK_CANDIDATE,Homo sapiens,DFU ulcer tissue plus nonulcerated diabetic foot-skin context,participant; 21 conservative public units with possible minimum 20; core DFU contrast has 13 participants,M01_ROLE_LOCKED,03_data/raw_external_READ_ONLY/GSE134431,Core healing contrast is 7 healers versus 6 nonhealers; 8 nonulcerated diabetic foot-skin samples are contextual; numeric label 31 records remain unmerged without explicit public linkage
GSE143735,GEO,SYSTEMIC_NONULCERATED_FOREARM_CONTEXT_ONLY,Homo sapiens,nonulcerated forearm whole skin; systemic context,"13 participants; 4 diabetes without DFU, 5 DFU healers, and 4 DFU nonhealers",M01_CONTEXT_ONLY_LOCKED,03_data/raw_external_READ_ONLY/GSE143735,Cannot validate a local DFU-ulcer tissue signature; retain only for systemic healing-status context
GSE199939,GEO,DIABETIC_FOOT_SKIN_BACKGROUND_OR_SEPARATE_SENSITIVITY_ONLY,Homo sapiens,foot skin; ulcer status unverified at sample level,21 participants; 10 diabetic foot-skin and 11 non-diabetic foot-skin samples,AUTHOR_APPROVED_QUARANTINE_FROM_CORE,03_data/raw_external_READ_ONLY/GSE199939,Excluded from core DFU analysis by author decision on 2026-08-25; may be used only as diabetic-foot-skin background or a separately labelled sensitivity analysis
GSE165816,GEO,PARTICIPANT_AWARE_SINGLE_CELL_VALUE_ADD,Homo sapiens,"foot skin, forearm skin, and PBMC kept as separate compartments",27 participants contributing 54 libraries; participant-aware clustering or participant-level aggregation required,M01_ROLE_AND_PARTICIPANT_MAP_LOCKED,03_data/raw_external_READ_ONLY/GSE165816,"Participant groups are 7 DFU healers, 4 nonhealers, 6 diabetes without DFU, and 10 healthy; never treat 54 libraries as 54 independent participants"
GSE223964,GEO,CHRONIC_ULCER_COMPARATOR_CONTEXT,Homo sapiens,chronic ulcer,participant,DEFERRED_OPTIONAL,NOT_ACQUIRED_OPTIONAL,Comparator differs from non-ulcer diabetic skin; cannot block MVM
DRYAD_LONGITUDINAL,DRYAD,OPTIONAL_LONGITUDINAL_CONTEXT,Homo sapiens,DFU longitudinal,participant,DEFERRED_OPTIONAL,NOT_ACQUIRED_OPTIONAL,Optional and cannot block MVM
GSE7014,GEO,EXCLUDED_PENDING_CONTRARY_EVIDENCE,Homo sapiens,skeletal muscle,participant,EXCLUDED,PENDING_SOURCE_MAP,Not a clinical DFU cohort under current evidence
GSE29221,GEO,EXCLUDED_PENDING_CONTRARY_EVIDENCE,Homo sapiens,skeletal muscle,participant,EXCLUDED,PENDING_SOURCE_MAP,Not a clinical DFU cohort under current evidence
GSE37265,GEO,EXCLUDED_PENDING_CONTRARY_EVIDENCE,Homo sapiens,oral ulcer,participant,EXCLUDED,PENDING_SOURCE_MAP,Not a clinical DFU cohort under current evidence
GSE147890,GEO,EXCLUDED_MODEL_SYSTEM,model system,humanized mouse skin model,experimental unit,EXCLUDED,PENDING_SOURCE_MAP,Not an independent clinical human DFU cohort
